income,sex,race,age,hs_week
<=50K,Male,White,50,45
>50K,Male,White,38,50
>50K,Male,White,33,50
<=50K,Male,White,46,35
<=50K,Female,White,25,50
<=50K,Male,White,64,40
<=50K,Male,White,62,10
>50K,Male,White,32,60
<=50K,Male,White,17,20
<=50K,Male,White,61,55
<=50K,Female,Black,40,40
<=50K,Female,White,21,40
>50K,Male,White,39,50
<=50K,Male,White,35,45
<=50K,Male,White,29,40
<=50K,Male,Black,27,40
<=50K,Female,White,20,40
>50K,Female,White,34,20
<=50K,Male,White,51,40
<=50K,Female,Black,45,15
<=50K,Female,White,20,40
<=50K,Male,White,31,40
<=50K,Male,Black,29,40
<=50K,Male,White,56,30
>50K,Female,White,55,12
<=50K,Male,White,26,20
>50K,Male,White,46,45
<=50K,Male,White,32,40
<=50K,Male,White,28,40
<=50K,Male,White,27,35
<=50K,Male,White,23,40
<=50K,Male,White,59,40
<=50K,Male,Other,26,48
<=50K,Male,White,36,40
<=50K,Female,White,18,15
<=50K,Male,White,33,70
>50K,Female,White,60,15
<=50K,Female,White,40,48
<=50K,Male,White,48,43
<=50K,Male,White,27,48
<=50K,Male,White,19,20
>50K,Male,White,38,50
<=50K,Male,White,26,43
<=50K,Male,White,45,40
<=50K,Female,White,20,20
<=50K,Male,White,32,40
<=50K,Female,White,22,13
<=50K,Male,White,22,40
<=50K,Female,Black,38,38
>50K,Male,White,34,50
<=50K,Female,Other,46,30
<=50K,Female,White,39,25
<=50K,Female,White,79,24
>50K,Male,White,60,8
<=50K,Male,White,24,40
<=50K,Male,White,31,65
<=50K,Male,Asian-Pac-Islander,37,77
<=50K,Male,White,23,40
<=50K,Male,White,31,45
>50K,Male,White,29,40
<=50K,Female,White,22,43
<=50K,Female,White,69,20
<=50K,Female,White,55,38
<=50K,Male,White,43,40
<=50K,Male,Other,23,36
<=50K,Male,White,29,35
<=50K,Female,White,22,40
<=50K,Male,White,22,42
>50K,Male,White,25,84
<=50K,Male,White,29,45
<=50K,Male,Black,25,40
<=50K,Female,White,33,40
>50K,Male,White,33,40
<=50K,Female,White,31,28
>50K,Male,White,30,45
<=50K,Male,White,55,40
<=50K,Male,White,36,50
<=50K,Female,White,47,40
>50K,Male,White,28,40
>50K,Male,White,42,40
<=50K,Male,White,51,55
<=50K,Female,Black,62,40
>50K,Male,White,65,35
<=50K,Male,White,23,40
<=50K,Male,White,60,32
>50K,Male,Black,47,60
<=50K,Female,White,50,40
<=50K,Male,White,70,6
<=50K,Male,White,32,40
<=50K,Male,White,37,40
>50K,Male,White,31,40
<=50K,Female,Black,76,12
<=50K,Female,Black,54,60
>50K,Male,White,32,40
<=50K,Female,White,31,52
>50K,Male,White,31,50
<=50K,Male,White,65,40
>50K,Male,White,30,60
<=50K,Male,White,63,40
<=50K,Female,White,21,10
>50K,Male,Asian-Pac-Islander,40,40
<=50K,Female,White,26,40
<=50K,Female,White,18,8
<=50K,Male,White,34,50
>50K,Female,White,66,40
<=50K,Male,White,44,60
<=50K,Female,White,30,40
<=50K,Male,White,36,40
>50K,Male,White,31,50
<=50K,Male,White,22,20
<=50K,Male,White,28,84
<=50K,Male,Asian-Pac-Islander,23,40
>50K,Male,White,49,50
<=50K,Male,White,39,35
>50K,Male,White,67,60
<=50K,Male,White,19,16
>50K,Male,White,30,50
<=50K,Female,Asian-Pac-Islander,25,40
<=50K,Male,Asian-Pac-Islander,24,30
<=50K,Male,White,46,40
<=50K,Male,White,37,45
<=50K,Male,White,41,40
<=50K,Male,White,40,20
<=50K,Female,White,44,40
<=50K,Male,White,32,40
>50K,Male,Black,58,20
<=50K,Male,White,48,48
<=50K,Male,White,34,40
<=50K,Female,Black,29,40
>50K,Male,White,46,50
<=50K,Male,Asian-Pac-Islander,36,40
<=50K,Male,White,59,38
<=50K,Male,White,29,40
<=50K,Male,White,50,40
<=50K,Male,White,25,40
<=50K,Female,Asian-Pac-Islander,27,35
<=50K,Male,White,48,70
>50K,Female,White,51,70
>50K,Male,White,36,45
>50K,Male,White,42,50
>50K,Male,White,49,40
<=50K,Male,White,33,20
>50K,Male,White,40,60
<=50K,Female,White,26,40
>50K,Female,White,69,40
<=50K,Male,White,59,30
<=50K,Female,White,30,40
<=50K,Female,White,31,35
>50K,Male,White,30,50
<=50K,Female,White,27,40
<=50K,Female,White,20,16
<=50K,Female,White,56,40
<=50K,Male,White,24,40
<=50K,Female,White,47,50
<=50K,Male,Black,51,35
<=50K,Male,White,34,45
<=50K,Male,Black,47,9
>50K,Male,White,47,44
<=50K,Female,Asian-Pac-Islander,20,40
>50K,Male,White,34,54
<=50K,Female,White,31,40
<=50K,Female,White,42,32
<=50K,Male,White,52,40
<=50K,Female,White,56,40
>50K,Male,White,53,40
>50K,Male,White,26,50
<=50K,Female,White,81,20
<=50K,Female,Black,28,40
>50K,Male,White,57,48
<=50K,Female,White,34,40
<=50K,Male,White,31,40
<=50K,Female,Black,24,40
<=50K,Male,White,20,40
<=50K,Female,Black,68,40
<=50K,Female,White,60,32
<=50K,Male,White,37,40
<=50K,Male,White,25,40
<=50K,Male,White,36,40
<=50K,Male,White,45,40
>50K,Male,White,34,60
<=50K,Female,White,31,70
<=50K,Male,White,47,60
>50K,Male,White,60,42
<=50K,Male,White,75,24
<=50K,Male,White,43,40
<=50K,Male,White,18,40
<=50K,Female,Asian-Pac-Islander,25,40
<=50K,Female,White,20,40
<=50K,Female,White,32,50
<=50K,Male,White,57,20
>50K,Male,White,43,60
<=50K,Male,White,18,40
<=50K,Female,Black,41,40
<=50K,Male,White,48,40
>50K,Male,White,35,90
<=50K,Male,White,41,40
<=50K,Female,Black,23,20
>50K,Male,White,32,45
<=50K,Male,White,33,40
<=50K,Male,White,58,40
<=50K,Male,White,22,65
<=50K,Female,White,33,50
>50K,Male,White,42,38
<=50K,Female,White,25,40
>50K,Male,White,39,50
>50K,Male,White,35,45
>50K,Female,White,50,38
>50K,Male,White,49,50
<=50K,Male,White,25,40
<=50K,Female,Black,47,40
>50K,Female,White,46,40
<=50K,Male,Black,42,40
>50K,Male,White,37,60
<=50K,Male,White,25,40
<=50K,Male,White,29,40
<=50K,Male,White,26,45
<=50K,Female,White,26,40
>50K,Male,White,45,40
<=50K,Female,White,34,30
<=50K,Female,Black,33,40
>50K,Male,White,43,40
<=50K,Male,White,28,45
<=50K,Male,White,51,75
<=50K,Female,White,21,35
<=50K,Female,White,23,35
<=50K,Female,White,30,40
>50K,Male,White,46,45
<=50K,Male,White,38,50
<=50K,Male,White,20,40
>50K,Male,White,36,50
>50K,Male,White,37,50
<=50K,Male,White,44,42
>50K,Male,White,33,40
<=50K,Male,White,45,40
<=50K,Male,White,47,40
>50K,Male,Asian-Pac-Islander,54,40
<=50K,Male,White,17,30
>50K,Female,White,43,36
>50K,Female,White,45,50
<=50K,Female,White,37,40
>50K,Male,White,44,40
<=50K,Female,White,55,50
<=50K,Male,White,41,48
<=50K,Female,White,23,40
<=50K,Female,Black,38,40
<=50K,Female,White,23,40
>50K,Male,White,35,40
<=50K,Male,White,18,20
<=50K,Male,White,47,40
<=50K,Female,White,25,8
<=50K,Male,White,41,50
<=50K,Female,Asian-Pac-Islander,23,24
<=50K,Female,White,41,40
<=50K,Male,White,26,50
<=50K,Male,White,30,40
>50K,Male,White,42,40
<=50K,Female,White,35,40
<=50K,Male,White,28,18
<=50K,Female,White,29,40
<=50K,Female,White,21,15
>50K,Male,White,48,40
<=50K,Male,White,44,60
<=50K,Male,White,34,40
<=50K,Female,White,19,25
>50K,Male,White,32,40
<=50K,Female,Black,31,40
<=50K,Male,White,25,40
>50K,Male,Black,47,40
<=50K,Female,White,46,40
<=50K,Male,White,18,40
<=50K,Female,White,31,20
<=50K,Female,White,28,40
>50K,Male,White,38,48
>50K,Male,White,33,40
<=50K,Female,White,17,15
>50K,Male,White,41,40
>50K,Male,White,46,40
<=50K,Male,White,38,44
<=50K,Male,White,24,60
>50K,Male,White,49,40
<=50K,Female,Amer-Indian-Eskimo,60,40
>50K,Male,White,44,60
>50K,Male,White,63,40
>50K,Male,White,40,60
>50K,Male,White,45,50
>50K,Male,White,49,50
<=50K,Female,White,36,40
<=50K,Male,White,65,8
<=50K,Male,White,41,20
<=50K,Female,White,25,40
<=50K,Female,White,20,35
<=50K,Male,White,60,40
<=50K,Female,White,17,20
>50K,Female,White,28,16
<=50K,Male,Other,31,50
<=50K,Female,White,47,35
<=50K,Male,White,45,45
<=50K,Male,White,51,40
<=50K,Male,Black,23,40
>50K,Female,White,44,60
<=50K,Male,White,34,50
<=50K,Male,White,19,10
>50K,Male,White,51,40
<=50K,Male,White,46,40
>50K,Male,Asian-Pac-Islander,30,40
<=50K,Male,White,37,35
>50K,Male,White,56,45
<=50K,Male,White,29,45
>50K,Male,White,46,50
<=50K,Male,White,55,40
>50K,Male,White,45,48
<=50K,Male,White,34,40
<=50K,Male,Black,45,40
<=50K,Male,White,41,40
<=50K,Male,White,22,20
>50K,Male,White,34,50
<=50K,Male,Black,27,40
<=50K,Male,Black,29,37
<=50K,Female,White,19,30
<=50K,Male,White,47,40
>50K,Male,White,43,50
<=50K,Female,Black,52,60
<=50K,Male,White,33,60
<=50K,Male,White,29,40
<=50K,Male,White,23,40
<=50K,Male,White,23,40
<=50K,Male,White,39,60
<=50K,Female,White,43,40
>50K,Male,White,31,40
>50K,Male,White,47,40
<=50K,Male,White,26,60
<=50K,Female,White,58,55
>50K,Male,White,47,50
<=50K,Female,White,55,38
<=50K,Female,White,26,40
<=50K,Female,White,28,40
<=50K,Male,Black,36,40
<=50K,Male,White,40,50
<=50K,Male,White,19,40
>50K,Male,White,63,40
<=50K,Male,White,42,40
<=50K,Male,White,76,13
<=50K,Female,White,23,40
<=50K,Male,White,38,40
<=50K,Male,Asian-Pac-Islander,33,30
>50K,Male,White,48,40
>50K,Male,White,56,40
<=50K,Male,Black,32,40
<=50K,Female,White,44,25
<=50K,Female,Black,27,40
<=50K,Male,White,33,50
<=50K,Male,White,22,40
<=50K,Female,White,18,20
<=50K,Male,White,44,40
<=50K,Male,Amer-Indian-Eskimo,42,60
<=50K,Female,White,34,40
<=50K,Male,White,45,40
<=50K,Male,White,57,40
>50K,Male,White,59,40
>50K,Female,Black,33,40
<=50K,Male,Other,52,49
<=50K,Female,White,17,15
<=50K,Male,White,29,30
>50K,Male,White,63,30
<=50K,Male,White,20,24
>50K,Male,White,42,50
<=50K,Male,White,50,50
<=50K,Female,White,55,30
<=50K,Female,Black,27,25
<=50K,Male,White,28,45
<=50K,Male,White,55,45
<=50K,Male,White,44,40
<=50K,Female,White,53,40
<=50K,Male,White,23,40
<=50K,Female,White,25,40
<=50K,Female,White,44,40
>50K,Male,White,55,40
>50K,Male,White,48,35
<=50K,Male,White,46,40
<=50K,Male,White,26,40
<=50K,Male,White,30,45
>50K,Male,White,32,40
<=50K,Male,White,52,48
>50K,Male,White,52,50
<=50K,Female,White,39,47
>50K,Male,White,57,40
<=50K,Male,White,21,40
<=50K,Male,White,22,10
<=50K,Male,White,26,40
<=50K,Male,White,26,40
>50K,Male,Black,44,40
<=50K,Female,White,42,30
<=50K,Male,White,40,43
<=50K,Male,White,22,45
>50K,Male,White,62,45
<=50K,Male,White,44,40
<=50K,Female,White,18,40
<=50K,Male,White,33,40
<=50K,Male,White,45,50
<=50K,Male,White,18,40
<=50K,Male,White,32,40
>50K,Female,White,33,60
<=50K,Male,White,20,15
<=50K,Male,White,68,20
>50K,Male,White,61,50
>50K,Male,White,48,40
<=50K,Male,White,45,40
>50K,Female,White,36,40
<=50K,Female,Black,32,32
<=50K,Female,White,35,40
<=50K,Male,White,39,40
<=50K,Male,White,53,40
<=50K,Female,Black,30,16
<=50K,Male,Asian-Pac-Islander,37,40
<=50K,Male,White,40,45
<=50K,Female,Black,25,40
<=50K,Female,Black,41,60
>50K,Male,White,52,98
<=50K,Male,White,33,40
<=50K,Male,White,28,40
>50K,Male,White,25,40
<=50K,Male,White,53,55
<=50K,Male,White,44,10
<=50K,Female,White,35,40
<=50K,Male,White,38,58
<=50K,Male,White,34,40
<=50K,Female,White,33,40
<=50K,Female,White,24,45
<=50K,Female,Black,65,25
<=50K,Male,White,29,60
>50K,Male,White,39,65
>50K,Male,White,46,40
<=50K,Male,White,37,60
>50K,Male,White,47,47
<=50K,Male,White,62,40
<=50K,Male,White,54,60
<=50K,Male,Asian-Pac-Islander,90,35
<=50K,Male,White,33,20
<=50K,Male,White,57,45
<=50K,Male,White,25,40
>50K,Male,White,44,50
<=50K,Male,White,52,50
<=50K,Male,White,21,40
<=50K,Male,Black,31,18
<=50K,Male,White,39,40
<=50K,Female,White,59,40
<=50K,Male,White,29,55
<=50K,Male,Black,49,45
<=50K,Male,White,34,40
<=50K,Male,White,22,40
<=50K,Male,Other,32,40
<=50K,Female,Black,39,40
<=50K,Male,White,46,60
>50K,Male,White,50,40
<=50K,Male,White,34,40
<=50K,Female,White,28,55
<=50K,Female,White,18,24
<=50K,Male,White,20,30
<=50K,Female,White,20,40
<=50K,Female,Amer-Indian-Eskimo,55,38
<=50K,Female,Black,22,40
<=50K,Male,White,60,40
<=50K,Male,White,40,50
<=50K,Female,White,47,30
<=50K,Female,White,23,35
<=50K,Female,White,57,40
<=50K,Male,White,52,40
<=50K,Male,White,42,40
<=50K,Male,White,25,20
>50K,Female,White,49,40
<=50K,Male,White,41,40
<=50K,Male,Black,40,30
>50K,Male,White,38,55
<=50K,Male,White,58,40
<=50K,Female,Black,26,35
<=50K,Female,White,57,70
<=50K,Male,White,28,60
<=50K,Female,White,42,40
<=50K,Male,White,28,55
<=50K,Male,Black,17,40
<=50K,Male,White,39,40
<=50K,Male,Black,28,40
>50K,Male,White,42,48
<=50K,Female,White,51,50
<=50K,Female,White,27,39
<=50K,Female,White,41,43
<=50K,Male,White,28,40
>50K,Female,White,54,30
<=50K,Female,White,73,8
<=50K,Female,White,49,30
>50K,Male,White,47,40
<=50K,Male,White,27,49
>50K,Female,White,42,45
<=50K,Female,Black,32,40
<=50K,Male,White,32,41
<=50K,Male,White,27,40
>50K,Male,White,29,40
<=50K,Male,White,22,30
>50K,Male,White,41,40
>50K,Male,White,49,40
<=50K,Male,White,58,50
>50K,Male,White,41,40
<=50K,Male,White,26,35
<=50K,Male,White,21,55
>50K,Female,White,32,2
>50K,Male,White,37,50
<=50K,Male,White,23,20
>50K,Male,White,42,40
>50K,Male,White,25,26
<=50K,Female,White,67,40
<=50K,Female,Black,41,38
>50K,Female,White,49,50
<=50K,Female,White,36,45
<=50K,Male,White,18,35
<=50K,Male,White,25,40
<=50K,Male,White,43,50
>50K,Female,White,38,36
<=50K,Male,White,21,20
<=50K,Male,White,65,15
<=50K,Female,White,66,35
<=50K,Male,Black,33,60
<=50K,Female,Black,51,38
<=50K,Male,White,27,40
<=50K,Female,White,17,16
>50K,Male,White,32,45
<=50K,Female,White,61,36
>50K,Male,White,38,40
<=50K,Female,White,43,40
>50K,Male,Asian-Pac-Islander,40,40
<=50K,Male,White,63,35
>50K,Male,White,76,20
<=50K,Female,White,42,40
>50K,Male,White,43,40
>50K,Male,White,76,30
>50K,Male,White,41,45
<=50K,Male,White,17,20
<=50K,Male,White,30,40
<=50K,Male,White,30,50
<=50K,Male,White,22,25
<=50K,Female,Other,53,20
<=50K,Female,Black,28,52
<=50K,Female,White,25,40
<=50K,Female,Black,24,40
>50K,Male,White,47,40
<=50K,Male,White,34,50
<=50K,Female,White,26,20
<=50K,Female,Amer-Indian-Eskimo,63,56
<=50K,Male,White,25,75
<=50K,Male,White,28,45
<=50K,Female,White,36,40
<=50K,Male,White,24,40
<=50K,Female,Asian-Pac-Islander,51,35
>50K,Male,White,44,50
<=50K,Male,White,18,12
>50K,Male,White,54,40
<=50K,Female,White,61,40
>50K,Male,White,51,45
<=50K,Male,White,43,40
<=50K,Male,White,51,40
>50K,Female,Black,50,40
<=50K,Female,White,27,25
<=50K,Male,White,24,30
<=50K,Male,White,20,20
>50K,Male,White,52,40
<=50K,Male,White,57,40
<=50K,Male,White,49,60
<=50K,Female,White,42,35
<=50K,Female,White,22,40
>50K,Male,White,38,40
<=50K,Female,White,21,20
>50K,Male,White,39,60
<=50K,Female,White,52,35
<=50K,Female,White,25,40
<=50K,Female,White,50,40
<=50K,Male,White,35,80
<=50K,Female,White,50,40
<=50K,Male,White,58,25
<=50K,Male,White,48,45
<=50K,Female,White,30,35
<=50K,Male,White,18,12
<=50K,Male,White,29,40
<=50K,Male,White,52,45
<=50K,Male,White,63,40
>50K,Female,White,36,40
<=50K,Female,White,24,42
<=50K,Male,Black,30,40
<=50K,Male,Other,23,40
<=50K,Female,White,35,20
<=50K,Female,White,21,20
<=50K,Male,White,28,43
<=50K,Male,White,20,40
<=50K,Male,White,18,20
<=50K,Female,White,21,15
<=50K,Male,White,27,40
<=50K,Female,White,42,40
<=50K,Female,White,21,30
>50K,Male,White,51,40
<=50K,Female,White,27,40
<=50K,Male,White,23,40
>50K,Male,White,57,40
<=50K,Female,White,22,12
>50K,Male,White,59,60
<=50K,Male,White,38,40
<=50K,Male,White,20,40
<=50K,Female,White,90,40
<=50K,Male,White,35,40
>50K,Male,White,50,38
>50K,Male,White,45,50
>50K,Male,White,44,50
<=50K,Male,White,23,40
<=50K,Male,White,34,40
<=50K,Female,White,23,43
<=50K,Male,White,39,40
<=50K,Male,White,19,55
>50K,Male,White,54,40
<=50K,Male,White,40,43
<=50K,Male,White,44,50
>50K,Female,White,31,20
<=50K,Male,White,25,40
>50K,Female,White,33,32
<=50K,Male,White,32,60
<=50K,Male,White,36,40
>50K,Male,Other,47,55
<=50K,Female,White,80,10
<=50K,Female,White,21,8
<=50K,Male,White,35,60
<=50K,Male,White,77,45
<=50K,Male,White,30,40
<=50K,Male,White,35,40
<=50K,Male,White,49,40
<=50K,Female,White,33,25
<=50K,Male,White,53,45
<=50K,Male,White,41,55
>50K,Male,White,57,40
<=50K,Female,White,21,25
<=50K,Female,White,19,40
<=50K,Female,White,28,45
<=50K,Male,White,42,60
<=50K,Male,White,29,55
<=50K,Female,White,38,25
<=50K,Male,White,26,20
>50K,Male,White,41,60
<=50K,Female,White,40,40
>50K,Male,White,36,40
<=50K,Male,White,28,40
<=50K,Female,Black,25,20
<=50K,Male,White,42,60
<=50K,Male,White,32,40
<=50K,Male,White,32,30
<=50K,Male,White,37,40
<=50K,Male,White,39,56
<=50K,Male,White,49,40
<=50K,Male,Black,28,40
<=50K,Female,White,24,20
<=50K,Female,White,19,40
<=50K,Male,White,31,40
<=50K,Female,White,40,40
<=50K,Male,White,29,30
<=50K,Male,White,59,48
>50K,Male,White,52,40
<=50K,Male,White,27,40
>50K,Male,White,45,45
<=50K,Male,Asian-Pac-Islander,58,40
<=50K,Male,White,53,40
<=50K,Male,White,23,25
<=50K,Male,White,35,40
<=50K,Male,White,49,40
<=50K,Female,White,49,40
<=50K,Male,White,25,40
>50K,Female,White,47,50
<=50K,Female,White,28,40
<=50K,Female,White,20,30
<=50K,Male,White,74,56
<=50K,Male,White,19,24
<=50K,Male,White,28,40
<=50K,Female,Black,31,40
<=50K,Male,White,61,40
<=50K,Male,White,30,53
<=50K,Male,White,20,40
>50K,Male,White,35,40
<=50K,Male,White,23,40
>50K,Female,White,25,30
<=50K,Male,White,19,30
>50K,Male,White,30,45
<=50K,Male,White,26,35
<=50K,Male,White,34,45
<=50K,Female,Black,49,40
<=50K,Male,White,35,40
<=50K,Female,White,38,40
<=50K,Male,Black,36,20
>50K,Male,Amer-Indian-Eskimo,33,48
<=50K,Female,White,54,40
<=50K,Male,White,19,40
<=50K,Male,White,18,40
<=50K,Male,White,60,40
<=50K,Male,White,28,40
<=50K,Male,White,43,40
<=50K,Male,White,49,40
<=50K,Male,White,25,70
<=50K,Male,White,17,20
>50K,Male,White,41,60
<=50K,Male,Black,30,35
>50K,Male,White,90,60
<=50K,Male,White,25,40
<=50K,Male,White,27,35
<=50K,Male,White,29,40
>50K,Male,Black,55,40
<=50K,Female,Black,31,40
<=50K,Male,White,43,99
>50K,Female,White,63,40
<=50K,Male,White,46,40
<=50K,Male,White,59,40
>50K,Female,Black,42,50
<=50K,Female,White,26,20
<=50K,Male,White,26,45
<=50K,Female,White,20,30
<=50K,Female,Black,19,40
>50K,Male,White,61,40
<=50K,Male,White,23,40
<=50K,Female,White,24,40
>50K,Male,White,35,40
<=50K,Male,White,42,12
<=50K,Female,White,31,21
<=50K,Female,White,31,55
<=50K,Female,White,63,25
<=50K,Female,White,29,64
<=50K,Male,White,43,40
<=50K,Female,Asian-Pac-Islander,22,10
<=50K,Male,White,17,25
>50K,Male,White,23,40
<=50K,Male,White,35,45
<=50K,Female,Other,32,28
>50K,Male,White,50,60
<=50K,Male,White,25,40
<=50K,Female,White,26,40
<=50K,Male,White,32,40
<=50K,Male,White,29,50
>50K,Male,White,57,40
>50K,Male,Black,90,50
>50K,Female,White,35,40
>50K,Male,Black,31,60
<=50K,Female,White,60,33
<=50K,Female,White,21,40
<=50K,Female,White,71,40
<=50K,Male,White,22,30
<=50K,Female,White,50,40
>50K,Male,White,37,45
<=50K,Female,Asian-Pac-Islander,23,40
<=50K,Male,White,74,30
<=50K,Male,White,67,70
>50K,Male,White,59,43
<=50K,Male,White,28,40
<=50K,Male,Amer-Indian-Eskimo,45,40
<=50K,Male,White,63,20
<=50K,Female,White,39,63
<=50K,Female,Black,33,40
<=50K,Male,Asian-Pac-Islander,32,40
>50K,Male,White,34,45
<=50K,Male,White,39,40
<=50K,Male,White,29,36
<=50K,Male,White,22,40
>50K,Female,White,53,43
<=50K,Male,White,46,42
>50K,Female,White,51,40
<=50K,Female,White,44,99
<=50K,Female,White,56,40
<=50K,Female,Black,27,40
<=50K,Female,Asian-Pac-Islander,52,30
>50K,Male,White,39,40
>50K,Male,White,45,40
<=50K,Male,White,37,45
<=50K,Male,White,33,40
<=50K,Female,White,35,4
<=50K,Female,White,46,45
<=50K,Female,White,35,50
<=50K,Male,Black,33,50
<=50K,Male,White,48,40
<=50K,Male,White,32,50
<=50K,Male,White,18,40
<=50K,Female,White,20,32
<=50K,Male,Asian-Pac-Islander,35,60
<=50K,Female,White,19,25
<=50K,Female,White,21,40
<=50K,Female,White,56,40
<=50K,Female,White,28,16
<=50K,Female,White,45,40
<=50K,Female,White,32,45
<=50K,Male,White,44,12
>50K,Male,White,55,40
>50K,Male,White,34,40
>50K,Male,White,33,40
<=50K,Male,White,36,55
<=50K,Female,White,25,40
<=50K,Male,White,28,40
>50K,Male,White,39,55
<=50K,Female,White,53,40
<=50K,Female,Amer-Indian-Eskimo,47,45
<=50K,Male,White,49,60
<=50K,Male,Amer-Indian-Eskimo,22,40
<=50K,Male,White,31,40
<=50K,Male,White,44,80
<=50K,Male,White,19,40
<=50K,Male,White,37,40
<=50K,Male,White,60,35
<=50K,Male,White,23,25
>50K,Male,White,44,65
<=50K,Female,White,54,35
<=50K,Male,White,23,38
<=50K,Female,White,21,10
<=50K,Male,White,19,25
>50K,Male,White,51,20
>50K,Male,White,41,50
>50K,Male,White,61,18
<=50K,Female,Amer-Indian-Eskimo,19,40
<=50K,Male,White,22,40
<=50K,Female,White,22,40
<=50K,Male,White,49,32
<=50K,Male,White,35,50
<=50K,Male,White,38,40
>50K,Male,White,29,40
>50K,Male,White,56,45
<=50K,Female,White,41,80
>50K,Male,White,62,45
<=50K,Male,White,27,40
<=50K,Female,White,55,40
<=50K,Male,White,25,42
>50K,Male,White,33,75
<=50K,Female,White,26,40
<=50K,Male,White,43,45
>50K,Male,White,53,40
<=50K,Female,White,43,40
<=50K,Male,White,56,35
<=50K,Male,White,25,50
<=50K,Male,Black,60,40
<=50K,Female,White,28,40
<=50K,Male,White,21,40
<=50K,Female,Black,40,40
<=50K,Male,Black,29,40
<=50K,Female,White,20,25
>50K,Male,White,25,80
<=50K,Female,White,18,10
<=50K,Male,White,32,35
<=50K,Male,Other,27,35
<=50K,Female,White,48,16
<=50K,Female,White,20,25
<=50K,Female,White,55,40
>50K,Female,White,33,50
<=50K,Female,White,21,12
<=50K,Male,White,43,30
<=50K,Male,White,35,40
>50K,Male,White,39,35
<=50K,Female,Asian-Pac-Islander,19,40
<=50K,Female,Black,25,40
>50K,Male,White,44,72
<=50K,Male,White,27,40
>50K,Female,White,39,40
<=50K,Male,White,69,40
<=50K,Female,Asian-Pac-Islander,34,40
<=50K,Male,White,20,35
<=50K,Female,White,37,40
<=50K,Female,White,43,39
<=50K,Male,White,62,48
>50K,Female,Black,34,40
<=50K,Male,White,31,48
>50K,Female,White,42,60
<=50K,Female,White,26,30
<=50K,Female,White,39,75
<=50K,Male,White,25,40
<=50K,Male,Black,54,30
>50K,Male,White,44,60
>50K,Male,White,34,38
<=50K,Male,White,21,40
<=50K,Male,White,50,55
<=50K,Male,White,33,40
>50K,Female,White,40,40
>50K,Male,White,44,40
<=50K,Male,White,33,56
<=50K,Male,White,21,40
<=50K,Female,Black,35,60
>50K,Male,White,43,40
<=50K,Male,White,57,30
<=50K,Male,White,51,45
<=50K,Male,White,29,40
<=50K,Male,Black,51,40
<=50K,Male,White,35,40
<=50K,Male,White,18,20
<=50K,Male,White,58,50
>50K,Male,White,57,40
<=50K,Female,White,19,20
<=50K,Female,White,37,40
<=50K,Male,White,38,44
<=50K,Female,White,45,40
>50K,Male,Asian-Pac-Islander,27,40
<=50K,Female,White,64,40
<=50K,Male,White,38,72
<=50K,Male,White,30,30
<=50K,Male,White,46,40
<=50K,Female,White,18,30
>50K,Male,White,60,40
<=50K,Male,White,30,44
>50K,Male,Black,47,40
<=50K,Female,White,39,40
>50K,Male,White,42,45
<=50K,Female,White,27,40
<=50K,Male,White,44,40
<=50K,Male,White,33,40
>50K,Male,White,54,50
<=50K,Male,White,58,35
<=50K,Male,White,45,30
<=50K,Male,White,59,50
<=50K,Female,White,29,50
<=50K,Female,White,27,40
>50K,Male,White,44,20
>50K,Male,White,44,40
>50K,Male,White,33,70
<=50K,Male,White,27,40
>50K,Male,White,33,55
<=50K,Female,Black,55,40
<=50K,Male,Other,32,60
<=50K,Male,White,31,45
>50K,Male,White,57,60
>50K,Male,White,30,45
<=50K,Female,White,78,1
<=50K,Female,White,28,48
<=50K,Male,Asian-Pac-Islander,30,40
>50K,Male,White,29,40
<=50K,Female,Black,66,3
>50K,Male,White,60,45
<=50K,Male,White,31,40
<=50K,Male,White,26,40
<=50K,Male,White,24,45
>50K,Male,White,29,50
>50K,Male,White,44,45
>50K,Male,White,34,55
>50K,Male,White,59,43
<=50K,Male,Asian-Pac-Islander,23,24
<=50K,Male,White,23,40
<=50K,Female,Black,55,35
>50K,Male,White,39,40
<=50K,Male,Black,39,40
<=50K,Male,White,57,75
<=50K,Female,White,35,40
>50K,Male,White,39,48
>50K,Female,White,47,38
>50K,Male,White,53,50
<=50K,Male,Black,23,25
>50K,Male,White,35,50
<=50K,Female,White,44,40
<=50K,Female,White,28,25
<=50K,Female,Asian-Pac-Islander,26,40
<=50K,Male,White,23,45
<=50K,Male,White,32,25
>50K,Male,White,49,50
<=50K,Male,White,36,60
<=50K,Female,White,36,36
<=50K,Male,Other,41,40
>50K,Female,Amer-Indian-Eskimo,21,46
>50K,Male,White,54,40
<=50K,Female,Black,43,40
<=50K,Female,White,35,40
>50K,Male,White,31,50
<=50K,Male,Asian-Pac-Islander,46,40
<=50K,Female,White,46,40
<=50K,Male,White,56,40
<=50K,Female,White,45,1
<=50K,Male,White,21,40
>50K,Male,White,51,50
<=50K,Male,White,47,20
<=50K,Male,White,42,40
<=50K,Female,White,19,30
<=50K,Male,White,25,40
>50K,Male,White,37,60
<=50K,Male,Black,35,40
<=50K,Male,White,40,30
<=50K,Male,White,57,15
>50K,Male,White,38,50
<=50K,Female,White,48,38
<=50K,Female,White,34,34
<=50K,Male,White,46,40
